GeoglowsID,Order,StationID,AssignedID,AssignmentReason
9003631,3,25027120.0,25027120.0,spatial
9003649,1,,,
9003677,5,,25027270.0,Propagation-2
9003684,1,,,
9003690,1,,,
9003691,1,,,
9003692,5,23217030.0,23217030.0,spatial
9003705,1,,,
9003713,1,,,
9003714,1,,,
9003715,2,,,
9003724,1,,,
9003732,1,,,
9003739,2,,,
9003740,3,,,
9003743,1,,,
9003753,2,,,
9003754,3,,,
9003762,5,,23187280.0,Propagation-4
9003763,1,,,
9003766,1,,,
9003780,1,,,
9003786,5,25027270.0,25027270.0,spatial
9003800,3,,25017010.0,Propagation-4
9003802,1,,,
9003811,1,,,
9003823,1,,,
9003825,4,,27037010.0,Propagation-2
9003829,1,,,
9003831,3,,,
9003856,3,,,
9003866,2,,,
9003867,2,,,
9003876,3,,25027120.0,Propagation-1
9003881,1,,,
9003882,1,,,
9003891,1,,,
9003903,2,,,
9003910,1,,,
9003919,1,,,
9003920,4,,,
9003926,1,,,
9003930,1,,,
9003934,1,,,
9003935,4,,26247020.0,Propagation-2
9003936,4,25027050.0,25027050.0,spatial
9003940,2,,,
9003945,2,,,
9003948,3,,25027120.0,Propagation-2
9003949,1,,,
9003986,2,,,
9003990,4,,,
9003991,1,,,
9003994,1,,,
9003997,1,,,
9003998,3,25017010.0,25017010.0,spatial
9003999,2,,,
9004014,4,27037010.0,27037010.0,spatial
9004015,2,,,
9004016,4,,,
9004017,2,,,
9004026,4,26247020.0,26247020.0,spatial
9004028,3,,25017010.0,Propagation-2
9004029,1,,,
9004033,1,,,
9004053,3,,25017010.0,Propagation-3
9004056,3,,25017010.0,Propagation-1
9004062,1,,,
9004063,2,,26247010.0,Propagation-2
9004066,5,,23187280.0,Propagation-3
9004070,4,,27037010.0,Propagation-1
9004071,1,,,
9004073,1,,,
9004089,4,,,
9004092,2,,,
9004093,1,,,
9004096,2,,,
9004098,1,,,
9004103,2,,,
9004107,2,,,
9004119,1,,,
9004125,1,,,
9004160,1,,,
9004167,2,,,
9004173,1,,,
9004182,4,,23197370.0,Propagation-4
9004197,2,,,
9004211,5,,23187280.0,Propagation-2
9004216,1,,,
9004225,2,,,
9004233,1,,,
9004239,1,,,
9004245,1,,,
9004256,1,,,
9004257,1,,,
9004275,1,,,
9004281,3,,,
9004282,1,,,
9004284,1,,,
9004286,4,,23197370.0,Propagation-3
9004300,3,,,
9004302,1,,,
9004303,3,,,
9004309,3,,,
9004310,1,,,
9004311,1,,,
9004317,1,,,
9004318,3,,,
9004322,2,25017020.0,25017020.0,spatial
9004326,2,,,
9004328,1,,,
9004355,5,23187280.0,23187280.0,spatial
9004378,1,,,
9004382,1,,,
9004400,4,,,
9004401,1,,,
9004411,1,,,
9004412,1,,,
9004417,2,26247010.0,26247010.0,spatial
9004418,1,,,
9004429,1,,,
9004437,2,,,
9004439,1,,,
9004443,4,,,
9004444,1,,,
9004448,2,,,
9004449,2,,,
9004452,2,,,
9004455,2,,,
9004456,4,,27037010.0,Propagation-3
9004463,2,,,
9004464,2,,,
9004469,2,,,
9004473,2,,,
9004493,4,,,
9004496,1,,,
9004497,2,,,
9004506,1,,,
9004509,1,,,
9004515,1,,,
9004521,1,,,
9004522,1,,,
9004528,1,,,
9004533,1,,,
9004534,1,,,
9004553,4,,23197370.0,Propagation-2
9004561,1,,,
9004562,1,,,
9004571,1,,,
9004572,2,,,
9004578,1,,,
9004580,2,,,
9004587,1,,,
9004596,2,,,
9004600,2,,,
9004601,3,,,
9004607,1,,,
9004614,4,,,
9004623,4,,,
9004641,1,,,
9004648,2,,,
9004651,2,,,
9004662,1,,,
9004670,2,,,
9004674,1,,,
9004680,1,,,
9004688,4,,27037020.0,Propagation-2
9004698,1,,,
9004699,4,,26247030.0,Propagation-4
9004703,1,,,
9004708,1,,,
9004713,2,,,
9004715,4,,26247050.0,Propagation-2
9004731,1,,,
9004739,4,,26247030.0,Propagation-2
9004767,1,,,
9004778,1,,,
9004779,1,,,
9004806,1,,,
9004826,5,,23207040.0,Propagation-2
9004832,1,,,
9004838,1,,,
9004839,4,23197370.0,23197370.0,spatial
9004840,3,,,
9004845,3,,,
9004846,2,,,
9004854,1,,,
9004879,2,26247050.0,26247050.0,spatial
9004882,4,,27037030.0,Propagation-3
9004883,1,,,
9004884,1,,,
9004890,2,,26247050.0,Propagation-2
9004893,1,,,
9004894,1,,,
9004895,1,,,
9004902,4,,27037010.0,Propagation-2
9004903,1,,,
9004908,1,,,
9004914,1,,,
9004915,1,,,
9004916,1,,,
9004917,5,23207040.0,23207040.0,spatial
9004919,2,,,
9004923,2,,26247050.0,Propagation-3
9004929,1,,,
9004931,1,,,
9004934,3,27037020.0,27037020.0,spatial
9004941,4,,23197370.0,Propagation-3
9004942,1,,,
9004958,1,,,
9004963,4,26247030.0,26247030.0,spatial
9004964,3,,27037020.0,Propagation-2
9004965,1,,,
9004968,4,27037030.0,27037030.0,spatial
9004976,1,,,
9004977,2,,,
9004982,3,,27037020.0,Propagation-1
9004992,1,,,
9004995,4,,23197370.0,Propagation-1
9004998,2,,,
9005006,2,,,
9005012,1,,,
9005018,2,,,
9005022,4,,26237040.0,Propagation-4
9005025,2,,26247050.0,Propagation-1
9005026,1,,,
9005035,1,,,
9005037,1,,,
9005041,1,,,
9005044,5,,,
9005045,1,,,
9005047,2,,,
9005065,1,,,
9005069,1,,,
9005076,1,,,
9005077,4,,23197370.0,Propagation-4
9005080,1,,,
9005083,1,,,
9005086,3,,,
9005089,3,,,
9005090,2,,,
9005094,2,,,
9005096,3,,,
9005097,2,,,
9005099,3,,,
9005103,3,,,
9005109,1,,,
9005114,1,,,
9005115,1,,,
9005116,3,,,
9005121,1,,,
9005123,2,,,
9005125,1,,,
9005129,1,,,
9005140,1,,,
9005145,3,,,
9005147,1,,,
9005148,1,,,
9005149,3,,,
9005153,4,,26237040.0,Propagation-3
9005154,1,,,
9005155,1,,,
9005160,1,,,
9005167,5,,,
9005169,2,,,
9005174,1,,,
9005176,4,,,
9005194,1,,,
9005203,3,,23197290.0,Propagation-4
9005207,1,,,
9005212,2,,,
9005213,1,,,
9005218,1,,,
9005235,2,,,
9005253,2,,,
9005258,4,,26237040.0,Propagation-2
9005262,3,,,
9005269,3,,,
9005274,2,,23197700.0,Propagation-2
9005276,1,,,
9005281,1,,,
9005282,1,,,
9005283,1,,,
9005309,1,,,
9005322,4,26237040.0,26237040.0,spatial
9005323,3,,,
9005332,2,,,
9005356,2,,,
9005360,1,,,
9005366,1,,,
9005378,3,,23197290.0,Propagation-3
9005383,1,,,
9005397,1,23197130.0,23197130.0,spatial
9005418,5,,24067020.0,Propagation-3
9005419,3,,23197130.0,Propagation-2
9005421,1,,,
9005424,3,,,
9005427,1,,,
9005429,2,,,
9005432,1,,,
9005433,4,,26237050.0,Propagation-4
9005439,4,24067020.0,24067020.0,spatial
9005446,1,,,
9005447,4,,24067020.0,Propagation-2
9005459,1,,,
9005463,4,,,
9005466,2,,,
9005473,1,,,
9005476,3,23197290.0,23197290.0,spatial
9005481,2,,,
9005482,2,,,
9005494,4,,,
9005495,1,,,
9005496,2,23197700.0,23197700.0,spatial
9005502,1,,,
9005503,1,,,
9005513,2,,23197700.0,Propagation-2
9005520,1,,,
9005523,4,,,
9005538,2,,,
9005539,4,,26237050.0,Propagation-3
9005541,1,,,
9005552,1,,,
9005553,1,,,
9005556,1,,,
9005557,1,,,
9005574,1,,,
9005578,3,,,
9005586,2,,,
9005587,1,,,
9005602,3,,,
9005617,1,,,
9005618,3,,,
9005619,1,,,
9005631,3,,,
9005635,5,,,
9005640,1,,,
9005641,4,,26237050.0,Propagation-2
9005652,1,,,
9005656,1,,,
9005664,4,,24067020.0,Propagation-1
9005665,2,,23197690.0,Propagation-2
9005669,1,,,
9005670,3,,,
9005677,4,26237050.0,26237050.0,spatial
9005679,4,,,
9005680,1,,,
9005681,1,,,
9005683,1,,,
9005687,2,,,
9005688,1,,,
9005693,2,,,
9005699,4,,25027050.0,Propagation-2
9005700,1,,,
9005704,1,,,
9005705,5,,23167010.0,Propagation-4
9005716,1,,,
9005724,3,,,
9005726,2,,,
9005729,1,,,
9005730,1,,,
9005732,1,,,
9005734,2,,,
9005739,1,,,
9005765,4,,,
9005777,3,,,
9005783,2,,26237110.0,Propagation-2
9005784,1,,,
9005788,3,,,
9005789,3,,,
9005794,1,,,
9005795,2,,,
9005797,2,,,
9005798,5,,23167010.0,Propagation-3
9005802,2,,,
9005803,1,,,
9005810,3,,,
9005817,1,,,
9005820,1,,,
9005828,1,,,
9005835,1,,,
9005836,5,,23167010.0,Propagation-2
9005849,3,,,
9005858,1,,,
9005867,1,23197690.0,23197690.0,spatial
9005875,2,,27027060.0,Propagation-2
9005876,1,,,
9005895,5,23167010.0,23167010.0,spatial
9005912,1,,,
9005920,1,,,
9005923,5,,23147020.0,Propagation-3
9005928,1,,,
9005943,4,,,
9005950,2,,,
9005951,1,,,
9005974,1,,,
9005978,2,,,
9005998,1,,,
9006005,1,,,
9006009,1,,,
9006016,1,,,
9006017,4,,24067020.0,Propagation-2
9006018,1,,,
9006033,1,27027060.0,27027060.0,spatial
9006034,1,,,
9006035,5,,,
9006041,1,,,
9006058,4,,26237100.0,Propagation-4
9006068,1,,,
9006069,2,,,
9006076,3,23147040.0,23147040.0,spatial
9006077,1,,,
9006089,1,26237110.0,26237110.0,spatial
9006095,5,,25027020.0,Propagation-2
9006098,3,,,
9006101,3,,23147040.0,Propagation-2
9006110,1,,,
9006123,1,,,
9006127,2,,,
9006131,1,,,
9006143,2,,,
9006144,1,,,
9006153,2,,,
9006154,1,,,
9006193,1,,,
9006204,5,,23127050.0,Propagation-2
9006223,4,,26237100.0,Propagation-3
9006237,2,,,
9006238,1,,,
9006242,1,,,
9006249,1,,,
9006262,1,,,
9006265,3,,23147020.0,Propagation-2
9006268,4,,24037360.0,Propagation-3
9006272,1,,,
9006273,1,,,
9006274,2,,,
9006276,2,23107040.0,23107040.0,spatial
9006287,2,,,
9006295,3,,,
9006298,1,,,
9006303,1,,,
9006306,5,,,
9006307,1,,,
9006334,1,,,
9006340,3,,24037360.0,Propagation-2
9006343,1,,,
9006345,1,,,
9006346,3,24037360.0,24037360.0,spatial
9006357,3,23147020.0,23147020.0,spatial
9006369,2,,,
9006372,3,,23107040.0,Propagation-2
9006373,5,,,
9006380,1,,,
9006394,3,,23107020.0,Propagation-1
9006402,2,,,
9006411,1,,,
9006412,2,,23107030.0,Propagation-3
9006413,1,,,
9006414,4,,,
9006421,1,,,
9006422,2,,,
9006425,1,,,
9006429,1,,,
9006432,4,,24067020.0,Propagation-3
9006440,3,,,
9006441,1,,,
9006446,1,,,
9006447,1,,,
9006455,1,,,
9006461,1,,,
9006464,1,,,
9006466,1,,,
9006468,5,,25027410.0,Propagation-4
9006474,1,,,
9006475,3,23107020.0,23107020.0,spatial
9006485,4,,26237100.0,Propagation-2
9006486,1,,,
9006500,2,,23107030.0,Propagation-2
9006506,2,,23107030.0,Propagation-1
9006507,2,23107030.0,23107030.0,spatial
9006510,2,,,
9006529,4,,24067020.0,Propagation-4
9006530,1,,,
9006532,1,,,
9006536,1,,,
9006542,1,,,
9006543,1,,,
9006544,1,,,
9006545,1,,,
9006546,2,,,
9006548,1,,,
9006558,5,,23097030.0,Propagation-3
9006561,1,,,
9006568,3,,,
9006569,1,,,
9006570,3,,23107020.0,Propagation-2
9006571,3,,23107020.0,Propagation-3
9006584,1,,,
9006586,3,23127050.0,23127050.0,spatial
9006588,1,,,
9006595,2,,,
9006604,1,,,
9006606,1,,,
9006610,1,,,
9006611,2,,,
9006619,3,,24037360.0,Propagation-3
9006628,1,,,
9006629,1,,,
9006630,2,,,
9006635,1,,,
9006636,1,,,
9006640,2,,,
9006644,3,,,
9006654,1,,,
9006660,3,,24037370.0,Propagation-2
9006665,3,,24037390.0,Propagation-3
9006666,3,,24037390.0,Propagation-2
9006669,3,,23127020.0,Propagation-2
9006670,1,,,
9006672,5,,23097030.0,Propagation-2
9006694,3,,23147020.0,Propagation-3
9006698,4,26237100.0,26237100.0,spatial
9006702,1,,,
9006704,1,,,
9006709,1,,,
9006710,1,,,
9006713,4,,26237020.0,Propagation-2
9006716,1,,,
9006721,2,26217010.0,26217010.0,spatial
9006723,4,,26237100.0,Propagation-2
9006724,4,,24027010.0,Propagation-3
9006727,2,,,
9006730,3,,24027010.0,Propagation-2
9006740,2,,,
9006742,1,,,
9006750,1,,,
9006754,1,,,
9006759,1,,,
9006761,1,,,
9006769,2,,,
9006770,3,,24017640.0,Propagation-2
9006771,3,24027010.0,24027010.0,spatial
9006777,1,,,
9006778,2,,,
9006779,2,24027040.0,24027040.0,spatial
9006782,4,,26217050.0,Propagation-2
9006783,1,,,
9006784,2,,24027040.0,Propagation-2
9006785,3,,23147020.0,Propagation-1
9006786,3,,23147020.0,Propagation-2
9006790,5,23097030.0,23097030.0,spatial
9006799,3,,23147020.0,Propagation-4
9006814,1,,,
9006819,2,,24037380.0,Propagation-2
9006823,2,,,
9006824,1,,,
9006825,2,,24037490.0,Propagation-2
9006831,1,26237020.0,26237020.0,spatial
9006835,3,24037390.0,24037390.0,spatial
9006837,1,,,
9006838,1,24037380.0,24037380.0,spatial
9006838,1,24037040.0,24037040.0,spatial
9006842,1,,,
9006848,2,24037490.0,24037490.0,spatial
9006851,3,24017640.0,24017640.0,spatial
9006853,1,,,
9006858,1,24027060.0,24027060.0,spatial
9006861,2,,,
9006871,1,,,
9006882,1,,,
9006888,2,,,
9006893,3,23127020.0,23127020.0,spatial
9006894,1,,,
9006899,2,,,
9006906,2,,,
9006911,1,,,
9006924,1,,,
