,COMID,sim_fdc_cluster,sim_ma_cluster
432,9004977,4,1
433,9004982,15,8
434,9004995,13,13
435,9004998,8,5
436,9005006,8,9
437,9005018,6,0
438,9005022,2,1
439,9005025,11,14
440,9005044,10,2
441,9005047,4,7
442,9005077,1,6
443,9005086,11,7
444,9005089,15,5
445,9005090,5,4
446,9005094,12,4
447,9005096,0,6
448,9005097,9,13
449,9005099,8,1
450,9005103,1,11
451,9005116,12,9
452,9005123,4,11
453,9005145,11,3
454,9005149,0,3
455,9005153,6,0
456,9005167,5,5
457,9005169,12,4
458,9005176,14,7
459,9005203,5,0
460,9005212,4,12
461,9005235,8,11
462,9005253,12,9
463,9005258,14,7
464,9005262,0,2
465,9005269,10,13
466,9005274,1,15
467,9005322,12,2
468,9005323,12,2
469,9005332,8,1
470,9005356,5,14
471,9005378,2,1
472,9005418,3,9
473,9005419,12,9
474,9005424,5,7
475,9005429,5,15
476,9005433,5,9
477,9005439,15,4
478,9005447,11,7
479,9005463,11,14
480,9005466,8,7
481,9005476,14,3
482,9005481,3,4
483,9005482,0,12
484,9005494,4,5
485,9005496,13,8
486,9005513,3,9
487,9005523,4,15
488,9005538,13,13
489,9005539,0,7
490,9005578,2,11
491,9005586,8,2
492,9005602,9,5
493,9005618,0,6
494,9005631,5,11
495,9005635,7,15
496,9005641,5,13
497,9005664,0,4
498,9005665,3,4
499,9005670,14,7
500,9005677,1,15
501,9005679,10,8
502,9005687,11,7
503,9005693,3,9
504,9005699,0,3
505,9005705,13,13
506,9005724,5,11
507,9005726,4,14
508,9005734,12,2
509,9005765,12,4
510,9005777,4,9
511,9005783,0,3
512,9005788,4,1
513,9005789,15,7
514,9005795,11,7
515,9005797,0,3
516,9005798,3,9
517,9005802,14,13
518,9005810,4,9
519,9005836,9,13
520,9005849,15,8
521,9005875,10,9
522,9005895,2,11
523,9005923,11,9
524,9005943,6,6
525,9005950,4,14
526,9005978,14,2
527,9006017,5,13
528,9006035,12,2
529,9006058,12,4
530,9006069,0,6
531,9006076,8,11
532,9006095,13,8
533,9006098,0,6
534,9006101,1,15
535,9006127,9,15
536,9006143,15,4
537,9006153,4,9
538,9006204,5,15
539,9006223,10,3
540,9006237,8,1
541,9006265,2,1
542,9006268,0,12
543,9006274,9,9
544,9006276,8,6
545,9006287,4,0
546,9006295,9,13
547,9006306,0,4
548,9006340,9,3
549,9006346,12,4
