from_node,to_node,HydroID,NextDownID,DrainID,COMID,Shape_Leng,Tot_Drain_,LENGTH_GEO,order_
349,347,9000266,-1,307,9000266,926.95284449500,7347567767.45000000000,0.90708553190,4
374,382,9000288,9000297,315,9000288,689.97639201900,104518991.93600000000,0.67399567103,1
376,382,9000289,9000297,316,9000289,595.83742846300,72297551.59740000000,0.58318274793,1
361,387,9000294,9000315,112,9000294,4053.79288969000,91585438.05940000000,3.95635279674,1
389,349,9000296,9000266,320,9000296,9855.46830771000,2148774162.76000000000,9.63434400812,3
382,389,9000297,9000296,318,9000297,979.97641171000,190515577.93300000000,0.95977507869,2
392,349,9000300,9000266,321,9000300,10157.94390540000,5195760441.04000000000,9.94110404859,4
403,392,9000313,9000300,325,9000313,2912.89871588000,5030792545.70000000000,2.85119359066,4
387,399,9000315,9000308,113,9000315,4990.28962628000,200490016.19400000000,4.88080926053,2
407,387,9000317,9000315,116,9000317,5272.43825969000,96416014.20990000000,5.15814943918,1
420,389,9000327,9000296,328,9000327,6395.34690605000,1863385265.30000000000,6.25595621941,3
425,426,9000333,9000334,118,9000333,384.12699512800,70640042.10260000000,0.37663340239,1
426,399,9000334,9000308,119,9000334,4705.97518055000,264303840305.00000000000,4.60157203235,6
357,420,9000336,9000327,311,9000336,49953.10450140000,406175684.01900000000,48.92823613790,1
429,426,9000338,9000334,120,9000338,1454.84277404000,264209943682.00000000000,1.42010243843,6
416,438,9000344,9000345,117,9000344,5587.15129725000,158333116.64700000000,5.46987727824,1
438,403,9000345,9000313,122,9000345,8038.26038174000,4870921712.92000000000,7.86858977160,4
430,439,9000346,9000433,329,9000346,1688.69234823000,73937587.80230000000,1.65264338002,1
412,439,9000347,9000433,326,9000347,7829.03668473000,103358605.69400000000,7.66153116031,1
440,438,9000348,9000345,123,9000348,94.45509999990,4668737915.70000000000,0.09217808922,4
443,392,9000351,9000300,334,9000351,8303.66353286000,87471708.65560000000,8.10301452269,1
454,420,9000359,9000327,336,9000359,6824.03282576000,1421436000.88000000000,6.67100574724,3
459,454,9000364,9000359,338,9000364,661.13189999800,500018432.26500000000,0.64524521690,2
461,454,9000365,9000359,339,9000365,1588.61898150000,866645275.19500000000,1.55541385293,2
462,459,9000366,9000364,340,9000366,9267.65816358000,154359950.40500000000,9.09091977640,1
404,469,9000371,9000390,115,9000371,13434.30990170000,168585141.51300000000,13.13801093640,1
472,469,9000374,9000390,126,9000374,6995.72605428000,135930475.73000000000,6.85063327225,1
473,461,9000375,9000365,342,9000375,4952.75190156000,96899009.60740000000,4.85459933307,1
474,429,9000376,9000338,127,9000376,10698.50638550000,166103076.34300000000,10.46303874460,1
469,492,9000390,9000391,125,9000390,7288.61506128000,374574073.40800000000,7.13873004556,2
492,440,9000391,9000348,128,9000391,14185.62081060000,820711818.06500000000,13.88655507900,3
497,429,9000394,9000338,129,9000394,12299.33650570000,264041851560.00000000000,12.01185790080,6
500,497,9000395,9000394,130,9000395,510.07248995100,364995913.38200000000,0.49834132195,2
501,461,9000396,9000365,348,9000396,9928.43228073000,756375985.98800000000,9.71357816545,2
504,497,9000399,9000394,131,9000399,1076.61827852000,263635706445.00000000000,1.05140693586,6
456,459,9000400,9000364,337,9000400,45794.15083260000,345360593.70800000000,44.86622390210,1
513,501,9000407,9000396,351,9000407,5730.52577123000,105011399.10600000000,5.61485129370,1
522,504,9000411,9000399,134,9000411,1822.68027577000,147337135.36700000000,1.78019587073,1
483,523,9000412,9000508,343,9000412,6443.57526858000,86078778.44830000000,6.30380022742,1
464,523,9000413,9000508,341,9000413,17377.95723230000,182724836.43300000000,17.03208772810,1
525,403,9000415,9000313,354,9000415,22577.67420840000,136714606.66300000000,22.06084732410,1
499,526,9000416,9000438,347,9000416,3897.65120486000,112359156.44100000000,3.81381613341,1
433,526,9000417,9000438,331,9000417,30508.95668250000,244928191.53700000000,29.86993773620,1
535,440,9000425,9000348,136,9000425,15337.11246310000,3847999810.96000000000,14.97318878030,3
512,500,9000430,9000395,132,9000430,32736.59481770000,276043522.99500000000,32.07099484690,1
532,542,9000432,9000469,356,9000432,4818.50100838000,87711889.89900000000,4.71693410848,1
439,542,9000433,9000469,333,9000433,29906.62672470000,271871878.25400000000,29.28234857990,2
544,492,9000435,9000391,137,9000435,10953.12550640000,378978505.33000000000,10.71670555880,2
452,546,9000437,9000490,335,9000437,33067.38627540000,290826087.84700000000,32.39692520740,1
526,546,9000438,9000490,355,9000438,5440.86503979000,383072598.25700000000,5.32263524752,2
550,544,9000442,9000435,139,9000442,1257.37420781000,123879643.79000000000,1.23163101468,1
520,557,9000449,9000477,352,9000449,11343.67069650000,103697493.55400000000,11.11330501250,1
510,562,9000454,9000545,350,9000454,14443.04280650000,136791372.67400000000,14.14956591200,1
536,557,9000455,9000477,357,9000455,18056.32735680000,258354977.84300000000,17.71174036840,1
572,501,9000464,9000396,363,9000464,13136.97021750000,629087639.68000000000,12.85338724720,2
489,575,9000465,9000536,345,9000465,16371.97172500000,161990437.65400000000,16.01833412760,1
578,572,9000468,9000464,366,9000468,557.13200635800,70375712.34460000000,0.54444709011,1
542,579,9000469,9000487,358,9000469,5664.88913512000,372238336.14000000000,5.54562130798,2
584,544,9000473,9000435,142,9000473,12828.51997480000,141148311.60900000000,12.58072841910,1
573,575,9000474,9000536,364,9000474,9095.45074327000,148029939.96700000000,8.92013866988,1
557,562,9000477,9000545,360,9000477,13178.56884740000,397543637.31300000000,12.91193416400,2
592,535,9000480,9000425,145,9000480,7967.73556888000,2979612022.14000000000,7.78034805046,3
591,592,9000481,9000480,144,9000481,701.92899193600,71433330.18530000000,0.68885331341,1
585,500,9000482,9000395,143,9000482,17607.96085280000,88803478.36160000000,17.22320371430,1
587,598,9000484,9000488,368,9000484,2068.84327242000,83931509.46310000000,2.02383859223,1
579,599,9000487,9000535,367,9000487,5443.26039034000,681301891.49700000000,5.33322116630,2
598,600,9000488,9000534,369,9000488,1989.64412669000,885658959.54100000000,1.95108483876,2
498,600,9000489,9000534,346,9000489,29292.06574930000,192627249.18000000000,28.68170850390,1
546,598,9000490,9000488,359,9000490,25792.32011840000,800125112.69400000000,25.29524919530,2
609,579,9000494,9000487,372,9000494,28250.44372730000,256654418.48600000000,27.67389456010,1
624,592,9000506,9000480,146,9000506,10992.00047090000,2903677673.48000000000,10.78699557720,3
523,572,9000508,9000464,353,9000508,47262.84415550000,484953779.64200000000,46.31899885400,2
647,624,9000526,9000506,374,9000526,12178.92073970000,2355283323.45000000000,11.94614787590,3
651,535,9000530,9000425,150,9000530,18614.11295870000,764706377.48600000000,18.20919300900,2
654,504,9000533,9000399,151,9000533,18995.47114320000,263485181681.00000000000,18.55401275690,6
600,655,9000534,9000556,371,9000534,5873.50975837000,1097451897.43000000000,5.74655653718,2
599,655,9000535,9000556,370,9000535,6602.01356617000,920889878.69100000000,6.46177810849,2
575,659,9000536,9000678,365,9000536,11658.58207480000,417236767.33300000000,11.40996147520,2
667,651,9000543,9000530,152,9000543,5508.74576691000,451586346.73700000000,5.40625348955,2
668,647,9000544,9000526,379,9000544,3506.96079731000,1473454296.89000000000,3.43309954651,3
562,647,9000545,9000526,362,9000545,64305.01571170000,825645070.04600000000,63.06342896530,2
669,668,9000546,9000544,380,9000546,1246.44568750000,70861385.64680000000,1.22289947564,1
672,659,9000549,9000678,381,9000549,6019.19493484000,136967123.06100000000,5.90686496549,1
665,677,9000552,9000700,378,9000552,2042.55078403000,95014452.56890000000,1.99976504967,1
655,684,9000556,9000613,375,9000556,3530.11708491000,2032961330.55000000000,3.45325790367,3
682,677,9000557,9000700,383,9000557,16371.84531090000,187848142.30800000000,16.06867271160,1
688,684,9000559,9000613,385,9000559,2145.19797937000,77506083.28070000000,2.10547996169,1
705,599,9000573,9000535,387,9000573,28030.97096370000,161165763.21800000000,27.48216281130,1
723,668,9000590,9000544,388,9000590,7000.37294458000,1397646607.86000000000,6.85754495714,3
683,727,9000594,9000595,153,9000594,5259.09431978000,105345049.67500000000,5.15117098273,1
727,654,9000595,9000533,157,9000595,7782.30172582000,262961154824.00000000000,7.61476410577,6
722,739,9000605,9000606,154,9000605,3258.48275344000,87171397.20280000000,3.19682330235,1
739,667,9000606,9000543,160,9000606,8105.28622525000,244401402.60800000000,7.93509695824,2
733,746,9000611,9000612,158,9000611,2666.91980995000,73126595.09920000000,2.61742836783,1
746,727,9000612,9000595,162,9000612,4633.99166288000,262832675234.00000000000,4.54765190436,6
684,747,9000613,9000650,384,9000613,9033.68973378000,2200263687.92000000000,8.85394591743,3
753,739,9000615,9000606,163,9000615,1786.26057623000,120142082.07200000000,1.75070818067,1
754,667,9000616,9000543,164,9000616,14490.96262200000,167658732.05300000000,14.20261802170,1
783,747,9000637,9000650,392,9000637,20830.34924480000,105330993.26700000000,20.42994424820,1
788,723,9000639,9000590,393,9000639,17749.65019590000,1083652460.81000000000,17.40646847380,2
661,788,9000640,9000639,377,9000640,41628.23589640000,238897570.31900000000,40.82114056980,1
