HydroID,NextDownID,DrainID,COMID,Shape_Leng,Tot_Drain_,LENGTH_GEO,Musk_kfac,Musk_k,Musk_x,order_,Aera_km2,Shape_Le_1
9013878,9013564,11374,9013878,22139.5189,2.27E+10,22.0196242,79270.6471,27744.7265,0.3,4,277383.994,22139.5189
9013887,9013908,11370,9013887,14644.0309,459126714,14.5911844,52528.2639,18384.8924,0.3,2,277383.994,14644.0309
9013901,9013823,11376,9013901,7058.511,1692721090,7.01952379,25270.2856,8844.59997,0.3,3,277383.994,7058.511
9013908,9013901,11375,9013908,12295.7415,661126999,12.2573514,44126.4652,15444.2628,0.3,2,277383.994,12295.7415
9013936,9013858,11095,9013936,3368.70028,102110642,3.34531594,12043.1374,4215.09809,0.3,1,277383.994,3368.70028
9013937,9013995,11379,9013937,11166.3702,158227463,11.1258755,40053.1518,14018.6031,0.3,1,277383.994,11166.3702
9013945,9013887,11380,9013945,11538.7845,170649158,11.4926723,41373.6204,14480.7671,0.3,1,277383.994,11538.7845
9013960,9014018,11372,9013960,6133.67371,83392922.6,6.10300007,21970.8003,7689.78009,0.3,1,277383.994,6133.67371
9013978,9013780,11098,9013978,10494.1851,9168879821,10.4265891,37535.7209,13137.5023,0.3,3,277383.994,10494.1851
9013995,9014252,11373,9013995,8485.92909,1199790919,8.44329601,30395.8656,10638.553,0.3,2,277383.994,8485.92909
9014004,9013978,11101,9014004,4651.46478,365104579,4.63312714,16679.2577,5837.7402,0.3,2,277383.994,4651.46478
9014005,9014004,11092,9014005,42899.5047,218496826,42.7357761,153848.794,53847.0778,0.3,1,277383.994,42899.5047
9014006,9013908,11383,9014006,12184.1171,136162074,12.1292575,43665.327,15282.8645,0.3,1,277383.994,12184.1171
9014014,9014068,11378,9014014,4902.60299,82091725.2,4.87135359,17536.8729,6137.90552,0.3,1,277383.994,4902.60299
9014018,9014068,11381,9014018,12862.0475,386185512,12.8007018,46082.5264,16128.8843,0.3,2,277383.994,12862.0475
9014027,9013878,11386,9014027,11953.7366,1.96E+10,11.8912769,42808.597,14983.0089,0.3,4,277383.994,11953.7366
9014068,9014027,11384,9014068,20648.1642,538096037,20.5406609,73946.3792,25881.2327,0.3,2,277383.994,20648.1642
9014106,9013978,11105,9014106,6102.48198,8770412229,6.06174138,21822.269,7637.79414,0.3,3,277383.994,6102.48198
9014121,9014004,11106,9014121,22544.0483,134762924,22.446941,80808.9875,28283.1456,0.3,1,277383.994,22544.0483
9014124,9014125,11388,9014124,788.5131,72798518.5,0.78717635,2833.83487,991.842203,0.3,1,277383.994,788.5131
9014125,9013824,11389,9014125,15688.2578,1548641674,15.5934044,56136.2558,19647.6895,0.3,2,277383.994,15688.2578
9014126,9014027,11390,9014126,5309.54267,1.89E+10,5.28184099,19014.6276,6655.11965,0.3,4,277383.994,5309.54267
9014127,9014018,11387,9014127,19091.2952,230782824,19.0004644,68401.6718,23940.5851,0.3,1,277383.994,19091.2952
9014132,9013769,11391,9014132,17895.3885,176847798,17.7793712,64005.7362,22402.0077,0.3,1,277383.994,17895.3885
9014173,9013901,11392,9014173,14682.7729,972219338,14.5928268,52534.1763,18386.9617,0.3,2,277383.994,14682.7729
9014198,9014106,11108,9014198,5576.9119,8432452369,5.53969146,19942.8893,6980.01124,0.3,3,277383.994,5576.9119
9014217,9014236,11104,9014217,8769.86706,89460894,8.72222894,31400.0242,10990.0085,0.3,1,277383.994,8769.86706
9014220,9014126,11394,9014220,7373.60388,93144615.3,7.33408653,26402.7115,9240.94903,0.3,1,277383.994,7373.60388
9014225,9014236,11110,9014225,5084.93569,85775004.7,5.06531554,18235.1359,6382.29758,0.3,1,277383.994,5084.93569
9014230,9014125,11396,9014230,6403.37932,1403092599,6.36114396,22900.1183,8015.04139,0.3,2,277383.994,6403.37932
9014236,9014106,11109,9014236,42861.0617,262557563,42.6785134,153642.648,53774.9269,0.3,2,277383.994,42861.0617
9014239,9014252,11397,9014239,15311.8998,378013830,15.2263396,54814.8224,19185.1879,0.3,2,277383.994,15311.8998
